config_id,strategy_name,seed,station,n_train_total,n_test,r2,rmse,ubrmse,bias,mae,pearson
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,55,BeaverPass_WA_990,12423,626,0.7461246310329712,0.04590803508564445,0.0414119786173331,0.01981402817254249,0.03563672198112399,0.8968067115274528
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,55,CayusePass_WA,12566,1081,0.6835696967799388,0.06718294077238542,0.06554889587456458,0.01472717829223698,0.05352336585902154,0.8442592054815288
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,55,Darrington,12560,999,0.69263239356688,0.051798930651863556,0.042983004786021455,0.028906582576316876,0.04197201474203361,0.8989912511389369
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,55,Paradise_WA,12419,1067,0.7822181493312855,0.045927862460547614,0.03977653003930216,0.022960753651121116,0.03597170487775239,0.9154613566984056
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,55,Quinault,12448,1044,0.5808527069402614,0.04493289644365149,0.04493270117779757,0.00013246766646246236,0.035510991518182315,0.8718319282090969
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,55,SourdoughGulch_WA_985,12417,906,0.34525864325511557,0.06486624769457196,0.05662695102508905,-0.031638876522021575,0.05194334002302972,0.732602594992131
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,55,Spokane,12815,897,0.6051724174742764,0.07216915526666035,0.05696682875316046,0.044307644867578086,0.06193431332013015,0.8942242514726138
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,42,BeaverPass_WA_990,12423,626,0.7423949129450769,0.04624402620205121,0.041620915967552345,0.020154635035096645,0.03617394449735601,0.8952729739677908
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,42,CayusePass_WA,12566,1081,0.68682213299688,0.06683677825686479,0.06581346491129778,0.011650869672547656,0.05338682836200439,0.842587139647287
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,42,Darrington,12560,999,0.7033485845555854,0.05088795037282584,0.04278857381061906,0.027544898700129404,0.04140474639228872,0.9007825993472577
Clustering_Backbone54_k2_c0_0_c1_0,Clustering_Backbone54_k2,42,Paradise_WA,12419,1067,0.7557848133340586,0.04863531408989374,0.03939404344773498,0.028521976044106504,0.03794651983822185,0.9171330958546705
