n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,val_R2,val_RMSE,val_MAE,val_bias
200,20.0,5,1,sqrt,0.7793471001136466,0.05046439068494522,0.03997850068972475,0.010220865622848649
500,,5,2,sqrt,0.7793453283875607,0.050464593285722184,0.03988780510282646,0.010321470422922798
300,25.0,2,2,0.5,0.7791543425886616,0.050486428164561295,0.03898232378919374,0.010279225445167628
300,,2,2,0.5,0.7791496560569977,0.05048696384407551,0.03898030314134929,0.010478135246135903
100,25.0,2,2,0.5,0.7791284966920493,0.05048938232911803,0.039036136796288125,0.010750608194546396
300,20.0,10,2,sqrt,0.7790204296286749,0.05050173243304738,0.039947724519771674,0.010099619667402564
300,,10,2,sqrt,0.7790097647852576,0.050502951067352815,0.03992574870629696,0.010361444275514643
200,15.0,5,1,sqrt,0.779001669359034,0.0505038760837226,0.03988199542739204,0.010396518757988294
200,25.0,10,2,0.5,0.7789993059156238,0.05050414613719686,0.03898107025912902,0.010100145052562187
200,15.0,5,2,sqrt,0.7789798006137263,0.05050637481092698,0.039944957320687764,0.010179129054774147
500,20.0,2,4,sqrt,0.7789465592719952,0.05051017273651851,0.03995474238354552,0.010177913116559016
500,20.0,5,4,sqrt,0.7789465592719952,0.05051017273651851,0.03995474238354552,0.01017791311655902
500,,10,1,sqrt,0.7789183877349535,0.050513391197774954,0.03984523851109524,0.009939778694460583
200,,10,1,sqrt,0.7789160539553741,0.050513657811557415,0.03986734724316314,0.01019201466754945
300,10.0,5,2,0.5,0.7788787598818682,0.050517918140409915,0.039064087252827395,0.010178465273054386
200,25.0,2,2,sqrt,0.7788508607709361,0.05052110499063687,0.03983251355474538,0.01017039390717277
500,25.0,5,2,sqrt,0.7788448769301107,0.05052178848460546,0.03992984693548703,0.010438074931553194
200,10.0,5,2,0.5,0.7788264756331239,0.050523890283297256,0.03898339069231772,0.010177789759364718
300,,10,1,sqrt,0.7788185837282997,0.05052479167096967,0.039821400126944934,0.010091961955750722
300,,2,1,0.5,0.7788046345231435,0.05052638486443199,0.03891471048513303,0.00997358959311425
200,10.0,2,4,sqrt,0.7787670379523011,0.05053067866618319,0.03984312227640677,0.009801692452302214
200,10.0,5,4,sqrt,0.7787670379523011,0.05053067866618319,0.03984312227640677,0.009801692452302214
200,20.0,10,4,sqrt,0.7787515402124184,0.050532448514565474,0.039864802290414836,0.010198814491472846
200,,2,2,0.5,0.7787420602607784,0.05053353109845616,0.03899962262655022,0.010457252015134052
500,25.0,10,2,sqrt,0.7787398413438144,0.05053378448920094,0.039922863648540925,0.01038516674880296
200,25.0,2,2,0.5,0.7787379425363103,0.0505340013238175,0.03904898336089478,0.010442894408996884
300,20.0,10,1,0.5,0.7787197850434229,0.05053607477453966,0.03895306144313874,0.010109258477130102
