,Global Single Model (54 Backbone),"Clustering_V0_Full_k2 (Winner c0=0, c1=10)",Global Single Model (54 Backbone + 160 CTX),"Clustering_V0_Full_k2 (Winner c0=0, c1=10 + 160 CTX)",Global Single Model (54 Backbone + 80 CTX-head),"Clustering_V0_Full_k2 (Winner c0=0, c1=10 + 80 CTX-head)"
hh_31,0.0,0.0,0.0,0.0,0.0005059434,0.000708559
hh_32,0.0,0.0,0.0,0.0,0.0,0.0
hh_33,0.0,0.0,0.0,0.0,0.0,0.0
hh_34,0.0,0.0,0.0,0.0,0.00033419524,0.0020360276
hh_35,0.0,0.0,0.0,0.0,0.0,0.0
hh_36,0.0,0.0,0.0,0.0,0.0,0.0
hh_37,0.0,0.0,0.0,0.0,1.385569e-05,1.31762445e-05
hh_38,0.0,0.0,0.0,0.0,0.014274379,0.017990613
hh_39,0.0,0.0,0.0,0.0,0.0,0.0
hh_4,0.0,0.0,0.0,0.0,0.0037299437,0.0016431543
hh_40,0.0,0.0,0.0,0.0,0.0013598494,0.00072622
hh_41,0.0,0.0,0.0,0.0,0.00044391488,0.000505245
hh_42,0.0,0.0,0.0,0.0,0.0,0.0
hh_43,0.0,0.0,0.0,0.0,0.030010153,0.01225257
hh_44,0.0,0.0,0.0,0.0,0.0009289103,0.00062735786
hh_45,0.0,0.0,0.0,0.0,0.0,0.0
hh_46,0.0,0.0,0.0,0.0,7.2516377e-06,8.115814e-06
hh_47,0.0,0.0,0.0,0.0,1.0466528e-06,3.2601752e-06
hh_48,0.0,0.0,0.0,0.0,0.00018841721,0.0005191183
hh_49,0.0,0.0,0.0,0.0,0.0,0.0
hh_5,0.0,0.0,0.0,0.0,0.0,0.0
hh_50,0.0,0.0,0.0,0.0,0.00061036,0.00061009
hh_51,0.0,0.0,0.0,0.0,0.0,0.0
hh_52,0.0,0.0,0.0,0.0,0.008689237,0.003959211
hh_53,0.0,0.0,0.0,0.0,0.0003185989,0.00027573583
hh_54,0.0,0.0,0.0,0.0,0.0,0.0
hh_55,0.0,0.0,0.0,0.0,0.0,0.0
hh_56,0.0,0.0,0.0,0.0,0.0,0.0
hh_57,0.0,0.0,0.0,0.0,0.00050199084,0.00016972926
hh_58,0.0,0.0,0.0,0.0,0.00049930834,0.0004582317
hh_59,0.0,0.0,0.0,0.0,0.0023941824,0.0016365246
hh_6,0.0,0.0,0.0,0.0,0.00015961647,8.2997496e-05
hh_60,0.0,0.0,0.0,0.0,1.0745612e-08,0.0
hh_61,0.0,0.0,0.0,0.0,0.004867176,0.00031661597
hh_62,0.0,0.0,0.0,0.0,0.0019608748,0.0011650927
hh_63,0.0,0.0,0.0,0.0,0.00023629767,0.000336476
hh_64,0.0,0.0,0.0,0.0,9.848864e-05,0.00019460639
hh_65,0.0,0.0,0.0,0.0,0.00060600933,0.0005792221
hh_66,0.0,0.0,0.0,0.0,0.00040361262,0.000990358
hh_67,0.0,0.0,0.0,0.0,0.00027656264,0.00043455244
hh_68,0.0,0.0,0.0,0.0,0.00077860185,0.0005404701
hh_69,0.0,0.0,0.0,0.0,0.0002894981,0.00043394428
hh_7,0.0,0.0,0.0,0.0,0.0025100452,0.022752527
hh_70,0.0,0.0,0.0,0.0,4.2204942e-06,2.9220716e-06
hh_71,0.0,0.0,0.0,0.0,0.0,0.0
hh_72,0.0,0.0,0.0,0.0,0.0002232542,0.00032639274
hh_73,0.0,0.0,0.0,0.0,0.0003253981,0.00041736456
hh_74,0.0,0.0,0.0,0.0,0.00027461883,0.00067820324
hh_75,0.0,0.0,0.0,0.0,4.1974272e-05,7.034377e-05
hh_76,0.0,0.0,0.0,0.0,0.00075960555,0.0011011958
hh_77,0.0,0.0,0.0,0.0,0.0045510978,0.0030277446
hh_78,0.0,0.0,0.0,0.0,0.00027044714,0.00023459902
hh_79,0.0,0.0,0.0,0.0,0.0,0.0
hh_8,0.0,0.0,0.0,0.0,0.0,0.0
hh_9,0.0,0.0,0.0,0.0,0.0018802424,0.0018664256
lia_mean_asc_deg,0.0,0.0,0.0,0.0,0.0,0.0
precip_mm,0.001320392,0.0014572514,0.000623673,0.0005523631,0.00067835784,0.0007229241
s2_b4,0.00029845102,0.0003599065,0.00016706667,0.00028523064,0.00047209574,0.0006282379
s2_b8,0.0009106746,0.0006764556,9.281159e-05,0.00010351182,0.00021715759,0.00034613558
sin_year,0.0013589012,0.0006931204,0.00016414573,0.00010389404,0.0003107824,0.00034931497
